prompt,response,status,Recommended food
What is the impact of eating Triticale on Diabetes?,"No, it is generally recommended to avoid or limit Triticale if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What's a healthy food I can eat if I have Heart Disease?,"Yes, Watermelon seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Is Avocado good for Heart Disease?,"Yes, Avocado is generally considered beneficial for managing Heart Disease. This is primarily because Rich in monounsaturated fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
How does Tapioca affect Diabetes?,"No, it is generally recommended to avoid or limit Tapioca if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What is the impact of eating Flax seeds on Heart Disease?,"Yes, Flax seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Does Sorghum (Jowar) worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Sorghum (Jowar) if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is Momos (steamed dumplings) bad for Obesity?,"No, it is generally recommended to avoid or limit Momos (steamed dumplings) if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Is Beetroot good for Obesity?,"Yes, Beetroot is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
How does Yogurt affect Obesity?,"Yes, Yogurt is generally considered beneficial for managing Obesity. This is primarily because High protein, aids satiety.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What is the impact of eating Pakora on Obesity?,"No, it is generally recommended to avoid or limit Pakora if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Is there any food I should absolutely avoid for Kidney Disease?,"No, it is generally recommended to avoid or limit Papaya if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Why should I not eat Banana with Diabetes?,"No, it is generally recommended to avoid or limit Banana if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the benefits of eating Yogurt for Obesity?,"Yes, Yogurt is generally considered beneficial for managing Obesity. This is primarily because High protein, aids satiety.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Does Sandwich worsen BMI levels for people with Obesity?,"No, it is generally recommended to avoid or limit Sandwich if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Does Burger worsen Blood Pressure levels for people with Hypertension?,"No, it is generally recommended to avoid or limit Burger if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
What is the impact of eating Butter on Heart Disease?,"No, it is generally recommended to avoid or limit Butter if you have Heart Disease. The main reason is that High in saturated fat.",Avoid,"Avoid: Fried foods, processed meats, pastries (contain unhealthy fats). Instead try: Grilled fish or chicken, avocado on whole-grain toast, or a quinoa salad."
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Toffee if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Pastry if I have Obesity?,"No, it is generally recommended to avoid or limit Pastry if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
What is the impact of eating Cheese on Hypertension?,"No, it is generally recommended to avoid or limit Cheese if you have Hypertension. The main reason is that Very high in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
What are the benefits of eating Spring onion for Obesity?,"Yes, Spring onion is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Tell me about Farro and Diabetes.,"Yes, Farro is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
"Since I should avoid Dried cranberry for Diabetes, what is a good alternative?","Instead of Dried cranberry, you might consider trying Recommended instead: Blackberry, Blueberry, Teff. It's often recommended as a better option for managing Diabetes.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Why should I not eat Churros with Diabetes?,"No, it is generally recommended to avoid or limit Churros if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
